"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Jun 18","1.343,70","1.392,40","1.392,40","1.353,70","0,03K","-3,68%"
"Mai 18","1.395,00","1.413,50","1.413,50","1.405,30","0,10K","-1,70%"
"Abr 18","1.419,10","1.460,10","1.460,10","1.442,00","0,02K","-0,48%"
"Mar 18","1.426,00","1.433,40","1.433,40","1.433,40","0,01K","0,48%"
"Fev 18","1.419,20","1.419,20","1.419,20","1.419,20","9,63K","-1,40%"
"Jan 18","1.439,40","1.399,00","1.399,00","1.398,00","0,00K","3,41%"
"Dez 17","1.391,90","1.327,60","1.372,10","1.327,60","0,08K","2,55%"
"Nov 17","1.357,30","1.382,00","1.382,00","1.382,00","0,13K","0,71%"
"Out 17","1.347,70","1.353,30","1.382,00","1.351,70","0,01K","-0,73%"
"Set 17","1.357,60","1.406,60","1.406,60","1.367,30","0,15K","-2,23%"
"Ago 17","1.388,50","1.326,40","1.393,70","1.326,40","0,01K","3,57%"
"Jul 17","1.340,70","1.289,90","1.323,60","1.282,30","0,03K","2,03%"
"Jun 17","1.314,00","1.342,80","1.342,80","1.313,70","0,01K","-2,56%"
"Mai 17","1.348,50","1.326,90","1.340,00","1.303,20","0,06K","0,10%"
"Abr 17","1.347,10","1.333,10","1.378,00","1.333,10","0,01K","1,30%"
"Mar 17","1.329,80","1.307,60","1.344,00","1.294,00","0,09K","-0,34%"
"Fev 17","1.334,30","1.289,00","1.323,90","1.289,00","0,05K","3,29%"
"Jan 17","1.291,80","1.232,40","1.299,60","1.232,40","0,05K","4,64%"
"Dez 16","1.234,50","1.236,70","1.239,00","1.236,70","0,02K","-0,31%"
"Nov 16","1.238,40","1.334,00","1.334,00","1.334,00","0,16K","-7,15%"
"Out 16","1.333,70","1.333,70","1.333,70","1.333,70","0,00K","-2,68%"
"Set 16","1.370,40","1.386,70","1.386,70","1.378,00","0,31K","0,18%"
"Ago 16","1.367,90","1.409,90","1.410,70","1.384,40","0,06K","-3,38%"
"Jul 16","1.415,70","1.402,80","1.402,80","1.402,80","0,41K","2,96%"
"Jun 16","1.375,00","1.375,00","1.375,00","1.375,00","0,06K","8,33%"
